molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4763128,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2cc(Cl)nn2c1C1CCOCC1,10.0
CHEMBL4781879,COC[C@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,3.0
CHEMBL4760571,COC[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,4.0
CHEMBL4795308,COCc1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,18.0
CHEMBL4787356,CO[C@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,13.0
CHEMBL4746044,CO[C@@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,4.0
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,3430.0
CHEMBL1401572,CNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccccc2)n1,19790.0
CHEMBL4855013,CNC(=O)c1cc(-c2ccc(Cl)cc2)n(Cc2ccccc2)n1,16330.0
CHEMBL4849377,CNC(=O)c1cc(-c2ccc(Cl)cc2)n(C)n1,25000.0
CHEMBL4868040,CNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,7010.0
CHEMBL4854452,CNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccccc2Cl)n1,25000.0
CHEMBL4847280,CNC(=O)c1cc(-c2cccc(Cl)c2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4869686,CNC(=O)c1cc(-c2ccccc2Cl)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4849824,CNC(=O)c1cc(-c2ccccc2)n(-c2ccc(Cl)cc2)n1,16790.0
CHEMBL4870944,CNC(=O)c1cc(-c2ccc(OC)cc2)n(-c2ccc(Cl)cc2)n1,6550.0
CHEMBL4876803,CNC(=O)c1cc(-c2ccc(F)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4853526,CNC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4850538,CNC(=O)c1cc(-c2ccc(CO)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4876960,CNC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4861384,CNC(=O)c1cc(-c2ccc(OC(F)(F)F)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4856758,CNC(=O)c1cc(-c2ccc(C#N)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4854584,CNC(=O)c1cc(-c2ccsc2)n(-c2ccc(Cl)cc2)n1,25000.0
